,date,open,high,low,close,volume
996,2016/5/24,2937.77,2976.61,2932.26,2971.77,370219.5209
997,2016/5/25,2971.75,3005,2962.01,2984,562592.7733
998,2016/5/26,2984,3027.85,2978,3016.5,716126.9436
999,2016/5/27,3016.5,3307,3004.1,3279.18,1350635.786
1000,2016/5/28,3279.18,3585.5,3256,3511.84,1441161.722
1001,2016/5/29,3511.83,3944.3,3507.29,3772.35,1629085.194
1002,2016/5/30,3772.99,3988,3630,3675,492557.9703
1003,2016/5/31,3674.76,3812.01,3550,3578,425276.7672
1004,2016/6/1,3578.63,3650,3481,3591,470074.9246
1005,2016/6/2,3591,3625,3536,3592,399669.5133
1006,2016/6/3,3592,3744.97,3565,3726.92,444512.6638
1007,2016/6/4,3726.92,3885,3723,3802,619176.2609
1008,2016/6/5,3802,3866,3717,3816.33,590229.7173
1009,2016/6/6,3816.33,3918,3770,3882.5,484391.0489
1010,2016/6/7,3882.48,3939.39,3802,3827.34,477898.6837
1011,2016/6/8,3827.7,3861.5,3742,3820,361667.2549
1012,2016/6/9,3820,3890,3775,3824,287864.4967
1013,2016/6/10,3824,3851.55,3804,3837.67,305976.6699
1014,2016/6/11,3837.67,3905,3832,3880,277506.0974
1015,2016/6/12,3880.21,4465,3870.11,4408,559724.6251
1016,2016/6/13,4408,4802,4355,4597.54,759440.4389
1017,2016/6/14,4597.54,4728,4503,4554,445144.9533
1018,2016/6/15,4554,4663,4460,4603.44,468930.3924
1019,2016/6/16,4603.49,4979.01,4588,4888,644229.3694
1020,2016/6/17,4887.41,5179.99,4716,4932.17,749595.2513
1021,2016/6/18,4932.17,5072,4856.2,5015.89,516389.6728
1022,2016/6/19,5015.89,5165,4900,5108.84,584662.411
1023,2016/6/20,5108.77,5138,4900,4961.67,476594.9427
1024,2016/6/21,4961.18,4993,4341.48,4463,759935.1735
1025,2016/6/22,4463,4586.79,4202.23,4273.92,796098.8995
1026,2016/6/23,4272.2,4307.88,3480,3665.24,1201694.9
1027,2016/6/24,3665.81,4430,3663,4227.51,1313692.056
1028,2016/6/25,4228.4,4563.25,4226,4471.38,783032.1604
1029,2016/6/26,4471.38,4518,4000,4064,921713.125
1030,2016/6/27,4064,4299,3978,4194,834183.5372
1031,2016/6/28,4194.8,4380,4155,4277.01,747986.8967
1032,2016/6/29,4277.9,4356,4153.56,4214.41,644411.7593
1033,2016/6/30,4214.41,4498,4214.41,4450,718078.3898
1034,2016/7/1,4450,4618.88,4432.7,4514,759418.2606
1035,2016/7/2,4514,4709.3,4491,4657.41,689835.8114
1036,2016/7/3,4657.41,4748.65,4313,4377.99,878869.4453
1037,2016/7/4,4377.77,4575,4310,4508.45,839663.6786
1038,2016/7/5,4508.45,4610,4433,4479.19,671938.5835
1039,2016/7/6,4479,4612,4467.64,4547.75,588418.4212
1040,2016/7/7,4547.75,4590.15,4210,4265.15,792170.2609
1041,2016/7/8,4265.15,4387.88,4062.3,4357.66,750497.0615
1042,2016/7/9,4357.46,4467,4313,4402,666448.6127
1043,2016/7/10,4401.74,4438.65,4168,4335.22,638544.2364
1044,2016/7/11,4335.45,4425,4303.3,4338.84,485519.3019
1045,2016/7/12,4339,4438,4325,4430.92,380722.01
1046,2016/7/13,4430.92,4525,4400,4437.9,504403.8767
1047,2016/7/14,4437.9,4453,4367.45,4421.63,378996.5573
1048,2016/7/15,4421.63,4474,4398,4450.14,353691.6489
1049,2016/7/16,4450.14,4477,4392.1,4425.76,318524.2832
1050,2016/7/17,4425.76,4476.97,4424.1,4462,278428.6345
