date,open,high,low,close,volume,NVT
2016-04-18,2777.71,2794.25,2768.22,2780.76,566916.0263,62.96747472
2016-04-19,2780.76,2800.0,2778.0,2789.29,520198.9683,62.96747472
2016-04-20,2789.29,2848.0,2788.01,2846.56,947077.3031,49.40382234
2016-04-21,2846.56,2894.0,2841.0,2878.2,1258385.4740000002,49.40382234
2016-04-22,2878.2,2928.1,2865.0,2887.88,1386157.0680000002,46.97329773
2016-04-23,2887.95,2918.0,2876.0,2899.0,841228.1388,46.97329773
2016-04-24,2898.91,2968.88,2896.42,2932.37,1466781.791,64.32304344
2016-04-25,2932.37,2993.2,2930.12,2976.67,1586057.861,64.32304344
2016-04-26,2976.67,3028.0,2973.0,3014.6,1416472.2769999998,42.52164634
2016-04-27,3014.6,3030.0,2857.0,2946.41,1397930.477,42.52164634
2016-04-28,2946.41,2952.36,2779.9,2887.14,1486494.9419999998,40.57455587
2016-04-29,2887.23,2918.22,2865.19,2907.23,750459.3682,40.57455587
2016-04-30,2907.28,2942.0,2906.5,2918.99,313538.3813,56.94069123
2016-05-01,2918.99,2930.0,2880.02,2917.01,612225.3547,56.94069123
2016-05-02,2917.18,2920.0,2860.5,2878.99,552307.3481,48.02449737
2016-05-03,2878.92,2898.99,2855.0,2890.49,497874.1688,48.02449737
2016-05-04,2890.45,2917.84,2881.57,2897.61,354032.4531,35.80571208
2016-05-05,2897.61,2912.0,2882.2,2895.75,503043.099,35.80571208
2016-05-06,2895.75,2946.01,2888.0,2938.63,692237.2617,47.63905817
2016-05-07,2938.63,2988.0,2919.0,2971.9,923447.2659,47.63905817
2016-05-08,2971.9,2989.0,2949.31,2970.8,653280.2612,98.06588232
2016-05-09,2970.8,3002.83,2956.0,2994.0,612493.1912,98.06588232
2016-05-10,2994.0,3018.99,2911.0,2937.2,1092906.702,45.56729491
2016-05-11,2937.23,2964.01,2926.89,2957.57,788473.2238,45.56729491
2016-05-12,2957.57,2958.98,2925.0,2952.0,642773.2913,44.68845329
2016-05-13,2952.0,2977.12,2943.66,2972.12,468020.3589,44.68845329
2016-05-14,2972.14,2992.54,2965.0,2974.51,524620.1345,68.41804417
2016-05-15,2974.44,2990.0,2970.0,2981.24,420416.69200000004,68.41804417
2016-05-16,2981.24,3004.96,2979.66,2995.31,569367.6566,51.07720114
2016-05-17,2995.34,2995.39,2946.0,2964.93,509070.7318,51.07720114
2016-05-18,2964.96,2983.88,2962.5,2980.68,329826.2897,45.1063849
2016-05-19,2980.68,2985.0,2946.0,2953.5,450487.7668,45.1063849
2016-05-20,2953.5,2960.01,2872.0,2923.46,754941.4546,44.23615534
2016-05-21,2923.45,2938.0,2913.0,2936.12,391500.3031,44.23615534
2016-05-22,2936.15,2938.0,2924.88,2929.68,253479.4436,80.41082012
2016-05-23,2929.68,2945.0,2910.22,2937.77,410069.8332,80.41082012
2016-05-24,2937.77,2976.61,2932.26,2971.77,370219.5209,47.00981263
2016-05-25,2971.75,3005.0,2962.01,2984.0,562592.7733,47.00981263
2016-05-26,2984.0,3027.85,2978.0,3016.5,716126.9436,42.30732903
2016-05-27,3016.5,3307.0,3004.1,3279.18,1350635.7859999998,42.30732903
2016-05-28,3279.18,3585.5,3256.0,3511.84,1441161.7219999998,31.34506128
2016-05-29,3511.83,3944.3,3507.29,3772.35,1629085.1940000001,31.34506128
2016-05-30,3772.99,3988.0,3630.0,3675.0,492557.9703,35.27329842
2016-05-31,3674.76,3812.01,3550.0,3578.0,425276.7672,35.27329842
2016-06-01,3578.63,3650.0,3481.0,3591.0,470074.9246,43.38550343
2016-06-02,3591.0,3625.0,3536.0,3592.0,399669.5133,43.38550343
2016-06-03,3592.0,3744.97,3565.0,3726.92,444512.6638,54.61238228
2016-06-04,3726.92,3885.0,3723.0,3802.0,619176.2609,54.61238228
2016-06-05,3802.0,3866.0,3717.0,3816.33,590229.7173,64.08646548
2016-06-06,3816.33,3918.0,3770.0,3882.5,484391.0489,64.08646548
2016-06-07,3882.48,3939.39,3802.0,3827.34,477898.6837,43.46159994
2016-06-08,3827.7,3861.5,3742.0,3820.0,361667.2549,43.46159994
2016-06-09,3820.0,3890.0,3775.0,3824.0,287864.4967,42.58370079
2016-06-10,3824.0,3851.55,3804.0,3837.67,305976.6699,42.58370079
2016-06-11,3837.67,3905.0,3832.0,3880.0,277506.0974,57.01216178
2016-06-12,3880.21,4465.0,3870.11,4408.0,559724.6251,57.01216178
2016-06-13,4408.0,4802.0,4355.0,4597.54,759440.4389,56.85778012
2016-06-14,4597.54,4728.0,4503.0,4554.0,445144.9533,56.85778012
2016-06-15,4554.0,4663.0,4460.0,4603.44,468930.3924,46.61528662
2016-06-16,4603.49,4979.01,4588.0,4888.0,644229.3694,46.61528662
2016-06-17,4887.41,5179.99,4716.0,4932.17,749595.2513,37.5418547
